alpha,ell_s,n,r_peak/M,V0,V2_tortoise,Re_omega_M,Minus_Im_omega_M,method
0.0,0,0,2.666634159448792,0.02636748413433556,-0.0027809508937600867,0.18978562126944662,0.09824000155890811,first_order_WKB
0.0,0,1,2.666634159448792,0.02636748413433556,-0.0027809508937600867,0.2658008410272389,0.2104343198160699,first_order_WKB
0.0,0,2,2.666634159448792,0.02636748413433556,-0.0027809508937600867,0.3276187742284875,0.2845462652937851,first_order_WKB
0.0,1,0,2.885964446310177,0.09926338340985601,-0.008044419040134865,0.3294369389351765,0.09625649757353112,first_order_WKB
0.0,1,1,2.885964446310177,0.09926338340985601,-0.008044419040134865,0.39614596753378845,0.24014213329489964,first_order_WKB
0.0,1,2,2.885964446310177,0.09926338340985601,-0.008044419040134865,0.4645110679010897,0.34133143540077693,first_order_WKB
0.0,2,0,2.9516763643774886,0.24712155009605133,-0.01894968212349663,0.5063213256626559,0.09612353886919653,first_order_WKB
0.0,2,1,2.9516763643774886,0.24712155009605133,-0.01894968212349663,0.5611011953280635,0.2602172194581487,first_order_WKB
0.0,2,2,2.9516763643774886,0.24712155009605133,-0.01894968212349663,0.6296667507077891,0.38646949019405613,first_order_WKB
0.0,3,0,2.974114275469754,0.4692526392761988,-0.03538782403613973,0.6917348930335638,0.096148442337654,first_order_WKB
0.0,3,1,2.974114275469754,0.4692526392761988,-0.03538782403613973,0.7366282265294364,0.2708662120747138,first_order_WKB
0.0,3,2,2.974114275469754,0.4692526392761988,-0.03538782403613973,0.8010061884382539,0.41516054080341097,first_order_WKB
0.05,0,0,2.5006008251967367,0.02794258698882028,-0.0029682617475085284,0.19433701727935326,0.09911755291680367,first_order_WKB
0.05,0,1,2.5006008251967367,0.02794258698882028,-0.0029682617475085284,0.27096657194252205,0.21326109847194757,first_order_WKB
0.05,0,2,2.5006008251967367,0.02794258698882028,-0.0029682617475085284,0.3336022084100148,0.28870027098570356,first_order_WKB
0.05,1,0,2.6984335639419412,0.10919178102780895,-0.009073310101259498,0.3445913262771697,0.09773126990707665,first_order_WKB
0.05,1,1,2.6984335639419412,0.10919178102780895,-0.009073310101259498,0.4116256968290409,0.24544639590383996,first_order_WKB
0.05,1,2,2.6984335639419412,0.10919178102780895,-0.009073310101259498,0.4812611442702754,0.34988642150921756,first_order_WKB
0.05,2,0,2.7542100686049538,0.2735595183494423,-0.021612651182527604,0.53207357859911,0.09768712655115311,first_order_WKB
0.05,2,1,2.7542100686049538,0.2735595183494423,-0.021612651182527604,0.5866851513147402,0.2657817684186732,first_order_WKB
0.05,2,2,2.7542100686049538,0.2735595183494423,-0.021612651182527604,0.6560947046980335,0.3961069845172609,first_order_WKB
0.05,3,0,2.7730200981087747,0.5204082984031684,-0.0404890802573959,0.7279823899610848,0.09772441706290455,first_order_WKB
0.05,3,1,2.7730200981087747,0.5204082984031684,-0.0404890802573959,0.7724895164393671,0.2762820200547964,first_order_WKB
0.05,3,2,2.7730200981087747,0.5204082984031684,-0.0404890802573959,0.8372124385675506,0.42487217947172795,first_order_WKB
0.1,0,0,2.326343075798768,0.02972583622709234,-0.003161059616114438,0.19920604101501727,0.09978582339082238,first_order_WKB
0.1,0,1,2.326343075798768,0.02972583622709234,-0.003161059616114438,0.2762625941737452,0.21585917796682894,first_order_WKB
0.1,0,2,2.326343075798768,0.02972583622709234,-0.003161059616114438,0.3396436100371242,0.29262936560085306,first_order_WKB
0.1,1,0,2.4987249951536077,0.1214884369624624,-0.010313536322532683,0.36236254945068175,0.09908673110934381,first_order_WKB
0.1,1,1,2.4987249951536077,0.1214884369624624,-0.010313536322532683,0.4294268554388639,0.25083657470482346,first_order_WKB
0.1,1,2,2.4987249951536077,0.1214884369624624,-0.010313536322532683,0.5002689758701369,0.35886015556995626,first_order_WKB
0.1,2,0,2.5439521880679594,0.3066021902545593,-0.024874393786551922,0.5625197086928528,0.09912735451595958,first_order_WKB
0.1,2,1,2.5439521880679594,0.3066021902545593,-0.024874393786551922,0.616606827036794,0.27129649628003566,first_order_WKB
0.1,2,2,2.5439521880679594,0.3066021902545593,-0.024874393786551922,0.6866393104319861,0.40604353507469376,first_order_WKB
0.1,3,0,2.558987511408225,0.5845122916759842,-0.046766597746747594,0.7709396768540342,0.09917506577672881,first_order_WKB
0.1,3,1,2.558987511408225,0.5845122916759842,-0.046766597746747594,0.8147237294889006,0.28153590129203615,first_order_WKB
0.1,3,2,2.558987511408225,0.5845122916759842,-0.046766597746747594,0.8794670013239401,0.43468369504933024,first_order_WKB
0.15,0,0,2.1418675649455574,0.03175510570227788,-0.003347039477148912,0.2043798329782623,0.10008002011362958,first_order_WKB
0.15,0,1,2.1418675649455574,0.03175510570227788,-0.003347039477148912,0.28153406843120593,0.21795945949912116,first_order_WKB
0.15,0,2,2.1418675649455574,0.03175510570227788,-0.003347039477148912,0.3455059895228478,0.2960055457147456,first_order_WKB
0.15,1,0,2.2824848009281724,0.1372483187270966,-0.011811525437065307,0.38376227257587464,0.10012573657907989,first_order_WKB
0.15,1,1,2.2824848009281724,0.1372483187270966,-0.011811525437065307,0.4503087349743003,0.25598757404815176,first_order_WKB
0.15,1,2,2.2824848009281724,0.1372483187270966,-0.011811525437065307,0.5221443088710024,0.36794885590157783,first_order_WKB
0.15,2,0,2.3162793137206514,0.3494257366849902,-0.028893387536111953,0.5995605676774367,0.10023541105168335,first_order_WKB
0.15,2,1,2.3162793137206514,0.3494257366849902,-0.028893387536111953,0.6525104813535672,0.2763045269105696,first_order_WKB
0.15,2,2,2.3162793137206514,0.3494257366849902,-0.028893387536111953,0.7227028688014147,0.4157808315552852,first_order_WKB
0.15,3,0,2.327324333492683,0.6678604088755621,-0.05454676309506613,0.823357868281256,0.10028843594897648,first_order_WKB
0.15,3,1,2.327324333492683,0.6678604088755621,-0.05454676309506613,0.8658591028837226,0.2860971463874513,first_order_WKB
0.15,3,2,2.327324333492683,0.6678604088755621,-0.05454676309506613,0.9300197905965953,0.4439328800908682,first_order_WKB
0.2,0,0,1.9444670215770683,0.034063516886433276,-0.0035000724440387566,0.20977519380377505,0.09971015519483507,first_order_WKB
0.2,0,1,1.9444670215770683,0.034063516886433276,-0.0035000724440387566,0.2864476119852197,0.21906327288160765,first_order_WKB
0.2,0,2,1.9444670215770683,0.034063516886433276,-0.0035000724440387566,0.35070372971236313,0.29821064559758587,first_order_WKB
0.2,1,0,2.0417427444980314,0.15849783339477477,-0.013583877580507605,0.4105735857805501,0.10036351899930548,first_order_WKB
0.2,1,1,2.0417427444980314,0.15849783339477477,-0.013583877580507605,0.47548904032316736,0.25998460353003955,first_order_WKB
0.2,1,2,2.0417427444980314,0.15849783339477477,-0.013583877580507605,0.5477204225556332,0.3761646287062974,first_order_WKB
0.2,2,0,2.062663321453739,0.4080124932262753,-0.03377933363251589,0.6466152488865441,0.10049272046437994,first_order_WKB
0.2,2,1,2.062663321453739,0.4080124932262753,-0.03377933363251589,0.6972638939821786,0.2795790489734799,first_order_WKB
0.2,2,2,2.062663321453739,0.4080124932262753,-0.03377933363251589,0.7665802997794603,0.42383117250114083,first_order_WKB
0.2,3,0,2.0693576491496035,0.7823691372191611,-0.06408097493757714,0.8902116837464301,0.10053708101736875,first_order_WKB
0.2,3,1,2.0693576491496035,0.7823691372191611,-0.06408097493757714,0.9304025822649395,0.28858244552658857,first_order_WKB
0.2,3,2,2.0693576491496035,0.7823691372191611,-0.06408097493757714,0.9927521613153969,0.4507634818585361,first_order_WKB
0.25,0,0,1.7314226499407617,0.03663256209893376,-0.003573450567291842,0.2151360922711126,0.09823938160814594,first_order_WKB
0.25,0,1,1.7314226499407617,0.03663256209893376,-0.003573450567291842,0.2903676761405988,0.21835939468765223,first_order_WKB
0.25,0,2,1.7314226499407617,0.03663256209893376,-0.003573450567291842,0.35435304297341896,0.29821723116813353,first_order_WKB
0.25,1,0,1.7586726866189515,0.18969277104317678,-0.015409218733253382,0.4464915527361859,0.0982951454630061,first_order_WKB
0.25,1,1,1.7586726866189515,0.18969277104317678,-0.015409218733253382,0.5070654026267528,0.25965852864455313,first_order_WKB
0.25,1,2,1.7586726866189515,0.18969277104317678,-0.015409218733253382,0.5778462646760493,0.3797545714759548,first_order_WKB
0.25,2,0,1.763742529921817,0.49587092953573997,-0.03904751802542097,0.7110035852378678,0.09826071791597091,first_order_WKB
0.25,2,1,1.763742529921817,0.49587092953573997,-0.03904751802542097,0.7566966520539744,0.2769817569695768,first_order_WKB
0.25,2,2,1.763742529921817,0.49587092953573997,-0.03904751802542097,0.8223741232954405,0.42476848886211455,first_order_WKB
0.25,3,0,1.765319675085714,0.9551450654328776,-0.07450145779140091,0.982241079606986,0.09824700013038483,first_order_WKB
0.25,3,1,1.765319675085714,0.9551450654328776,-0.07450145779140091,1.0178621513685528,0.28442625363306645,first_order_WKB
0.25,3,2,1.765319675085714,0.9551450654328776,-0.07450145779140091,1.0753898040007672,0.44868492855892855,first_order_WKB
0.296,0,0,1.5259614326233573,0.038985260305285444,-0.0035763913872089766,0.21965982500505882,0.09625579679150559,first_order_WKB
0.296,0,1,1.5259614326233573,0.038985260305285444,-0.0035763913872089766,0.2930030232508455,0.21648443668968465,first_order_WKB
0.296,0,2,1.5259614326233573,0.038985260305285444,-0.0035763913872089766,0.35635983381071806,0.2966598571568407,first_order_WKB
0.296,1,0,1.4077913763573093,0.2388506661250263,-0.015166790687743298,0.4965284219788837,0.08769154866812469,first_order_WKB
0.296,1,1,1.4077913763573093,0.2388506661250263,-0.015166790687743298,0.5444393204696456,0.23992396201384955,first_order_WKB
0.296,1,2,1.4077913763573093,0.2388506661250263,-0.015166790687743298,0.6064131376868251,0.3590072804751374,first_order_WKB
0.296,2,0,1.3884538610551926,0.6398417093796792,-0.03862104936280951,0.8045494491915566,0.08636033125664687,first_order_WKB
0.296,2,1,1.3884538610551926,0.6398417093796792,-0.03862104936280951,0.8377087452484628,0.24882570704425783,first_order_WKB
0.296,2,2,1.3884538610551926,0.6398417093796792,-0.03862104936280951,0.8900517420778129,0.390320886189902,first_order_WKB
0.296,3,0,1.3826396903952853,1.2414724193477977,-0.07384572967747559,1.1175257094264628,0.08597262285938005,first_order_WKB
0.296,3,1,1.3826396903952853,1.2414724193477977,-0.07384572967747559,1.1424212740155786,0.2522973404052845,first_order_WKB
0.296,3,2,1.3826396903952853,1.2414724193477977,-0.07384572967747559,1.1855988806375872,0.4051817942865916,first_order_WKB
